threshold_deg,scale,comp_id,area_sqft,aspect_ratio,centroid_dist_ft,centroid_az_deg,bbox_h,bbox_w
25,1ft_raw,1351,10.0,2.0,148.8,97.4,6,3
25,1ft_raw,1360,10.0,3.5,115.0,101.1,7,2
25,1ft_raw,1468,10.0,3.5,149.6,104.2,7,2
25,1ft_raw,1522,10.0,2.0,150.9,106.8,6,3
25,1ft_raw,1580,10.0,2.33,142.0,112.2,7,3
25,1ft_raw,1582,10.0,1.5,103.1,121.6,6,4
25,1ft_raw,1593,10.0,2.0,109.7,120.6,6,3
25,1ft_raw,1616,10.0,2.33,139.9,115.2,7,3
25,1ft_raw,2439,10.0,1.2,118.4,202.3,5,6
25,1ft_raw,2759,10.0,2.0,124.3,178.3,3,6
25,1ft_raw,2822,10.0,1.25,136.9,159.3,4,5
25,1ft_raw,2877,10.0,3.5,143.8,154.7,2,7
25,1ft_raw,3092,10.0,1.0,382.1,129.5,5,5
30,1ft_raw,12,10.0,1.2,433.3,23.3,6,5
30,1ft_raw,50,10.0,1.25,385.6,2.7,5,4
30,1ft_raw,63,10.0,1.2,382.7,354.9,5,6
30,1ft_raw,129,10.0,1.25,393.1,21.6,4,5
30,1ft_raw,350,10.0,1.2,293.1,326.6,6,5
30,1ft_raw,383,10.0,3.0,288.2,323.6,6,2
30,1ft_raw,503,10.0,1.67,350.6,293.5,3,5
30,1ft_raw,1037,10.0,2.33,137.5,112.1,7,3
30,1ft_raw,1736,10.0,2.67,402.0,235.1,3,8
25,1ft_raw,56,9.0,1.25,409.5,22.3,4,5
25,1ft_raw,268,9.0,1.0,323.6,338.2,5,5
25,1ft_raw,563,9.0,1.0,111.4,346.6,5,5
25,1ft_raw,583,9.0,3.5,108.4,357.1,2,7
25,1ft_raw,937,9.0,1.67,148.8,69.7,5,3
25,1ft_raw,973,9.0,1.67,146.6,72.0,5,3
25,1ft_raw,997,9.0,1.25,155.0,74.6,5,4
25,1ft_raw,1072,9.0,2.0,121.0,77.5,6,3
25,1ft_raw,1147,9.0,3.0,133.8,84.4,6,2
25,1ft_raw,1245,9.0,2.5,115.1,91.4,5,2
25,1ft_raw,1288,9.0,1.25,130.7,93.8,5,4
25,1ft_raw,1297,9.0,2.0,138.9,94.5,6,3
25,1ft_raw,1299,9.0,1.25,142.1,94.6,5,4
25,1ft_raw,1368,9.0,3.0,111.4,101.4,6,2
25,1ft_raw,1431,9.0,3.5,93.3,110.0,7,2
25,1ft_raw,1517,9.0,2.33,120.9,110.8,7,3
25,1ft_raw,1585,9.0,1.5,145.4,111.8,6,4
25,1ft_raw,1630,9.0,1.5,102.5,126.7,6,4
25,1ft_raw,1702,9.0,2.0,150.6,117.6,6,3
25,1ft_raw,2342,9.0,1.0,136.7,139.8,5,5
25,1ft_raw,2666,9.0,2.0,138.7,149.7,3,6
25,1ft_raw,2736,9.0,2.5,123.0,181.1,2,5
25,1ft_raw,2965,9.0,2.33,138.2,171.2,3,7
25,1ft_raw,3090,9.0,2.0,252.8,196.2,6,3
25,3ft_smooth,7,9.0,1.33,369.6,355.4,3,4
30,1ft_raw,21,9.0,1.0,434.6,24.5,5,5
30,1ft_raw,57,9.0,1.0,385.6,354.2,5,5
30,1ft_raw,124,9.0,1.25,370.4,352.6,4,5
30,1ft_raw,205,9.0,3.0,427.0,318.8,2,6
30,1ft_raw,261,9.0,1.0,324.9,339.6,5,5
30,1ft_raw,270,9.0,1.0,320.1,337.7,5,5
30,1ft_raw,313,9.0,1.5,304.0,329.8,6,4
30,1ft_raw,507,9.0,1.25,334.8,294.4,4,5
30,1ft_raw,590,9.0,1.5,367.0,282.3,6,4
30,1ft_raw,620,9.0,2.0,405.8,277.7,3,6
30,3ft_smooth,10,9.0,3.0,312.2,332.8,2,6
30,5ft_smooth,3,9.0,1.33,382.5,1.5,4,3
25,1ft_raw,401,8.0,1.0,444.1,298.7,4,4
25,1ft_raw,575,8.0,1.25,108.3,351.9,5,4
25,1ft_raw,610,8.0,1.25,104.6,351.1,5,4
25,1ft_raw,816,8.0,3.0,422.5,280.3,6,2
25,1ft_raw,895,8.0,1.25,151.2,66.8,5,4
25,1ft_raw,919,8.0,1.67,146.1,68.0,5,3
25,1ft_raw,938,8.0,3.0,155.0,70.7,6,2
25,1ft_raw,1022,8.0,2.0,146.9,75.5,6,3
25,1ft_raw,1090,8.0,2.5,152.8,81.5,5,2
25,1ft_raw,1092,8.0,3.0,130.9,81.0,6,2
25,1ft_raw,1136,8.0,1.67,101.3,81.7,5,3
25,1ft_raw,1202,8.0,1.25,138.3,87.8,5,4
25,1ft_raw,1269,8.0,2.5,97.4,94.1,5,2
25,1ft_raw,1289,8.0,2.5,135.4,93.6,5,2
25,1ft_raw,1292,8.0,2.5,109.4,95.0,5,2
25,1ft_raw,1294,8.0,3.0,150.6,93.9,6,2
25,1ft_raw,1316,8.0,2.5,134.9,96.1,5,2
25,1ft_raw,1391,8.0,2.0,123.0,101.8,6,3
25,1ft_raw,1456,8.0,3.0,141.4,103.9,6,2
25,1ft_raw,1489,8.0,2.5,125.1,107.9,5,2
25,1ft_raw,1499,8.0,2.0,132.2,107.6,4,2
25,1ft_raw,1509,8.0,1.67,116.9,110.9,5,3
25,1ft_raw,1515,8.0,1.67,97.2,116.0,5,3
