band_key,az,blocked_pct
bend r13,320.0,0.0
bend r13,322.0,0.0
bend r13,324.0,0.0
bend r13,326.0,0.0
bend r13,328.0,0.0
bend r13,330.0,0.0
bend r13,332.0,0.0
bend r13,334.0,0.0
bend r13,336.0,0.0
bend r13,338.0,0.0
bend r13,340.0,0.0
bend r13,342.0,0.0
bend r13,344.0,0.0
bend r13,346.0,0.0
bend r13,348.0,0.0
bend r13,350.0,0.0
bend r13,352.0,0.0
bend r13,354.0,0.0
bend r13,356.0,0.0
bend r13,358.0,0.0
bend r13,360.0,0.0
bend r14,280.0,0.0
bend r14,282.0,0.0
bend r14,284.0,0.0
bend r14,286.0,0.0
bend r14,288.0,0.0
bend r14,290.0,0.0
bend r14,292.0,0.0
bend r14,294.0,0.0
bend r14,296.0,0.0
bend r14,298.0,0.0
bend r14,300.0,0.0
bend r14,302.0,0.0
bend r14,304.0,0.0
bend r14,306.0,0.0
bend r14,308.0,0.0
bend r14,310.0,0.0
bend r14,312.0,0.0
bend r14,314.0,0.0
bend r14,316.0,0.0
bend r14,318.0,0.0
bend r14,320.0,0.0
bend r14,322.0,0.0
bend r14,324.0,0.0
bend r14,326.0,0.0
bend r14,328.0,0.0
bend r14,330.0,0.0
bend r14,332.0,0.0
bend r14,334.0,0.0
bend r14,336.0,0.0
bend r14,338.0,0.0
bend r14,340.0,0.0
bend r14,342.0,0.0
bend r14,344.0,0.0
bend r14,346.0,0.0
bend r14,348.0,0.0
bend r14,350.0,0.0
bend r14,352.0,0.0
bend r14,354.0,0.0
bend r14,356.0,0.0
bend r14,358.0,0.0
bend r14,360.0,0.0
bend r15,280.0,0.0
bend r15,282.0,0.0
bend r15,284.0,0.0
bend r15,286.0,0.0
bend r15,288.0,0.0
bend r15,290.0,0.0
bend r15,292.0,0.0
bend r15,294.0,0.0
bend r15,296.0,0.0
bend r15,298.0,0.0
bend r15,300.0,0.0
bend r15,302.0,0.0
bend r15,304.0,0.0
bend r15,306.0,0.0
bend r15,308.0,0.0
bend r15,310.0,0.0
bend r15,312.0,0.0
bend r15,314.0,0.0
bend r15,316.0,0.0
bend r15,318.0,0.0
bend r15,320.0,0.0
