band_key,section,row,az,eye_elev_navd88,canopy_sil_leafoff_deg,canopy_sil_leafon_deg,leaf_state_measured,leaf_on_is
bend r8,bend,8,342.0,623.25,3.782,4.122,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r11,bend,11,318.0,627.34,2.223,2.827,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r11,bend,11,320.0,627.34,1.259,2.425,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r11,bend,11,322.0,627.34,0.496,1.689,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r11,bend,11,324.0,627.34,-0.651,0.525,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r11,bend,11,326.0,627.34,-0.859,-0.773,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r11,bend,11,328.0,627.34,-1.373,-1.336,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r11,bend,11,330.0,627.34,-0.266,-0.266,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r11,bend,11,332.0,627.34,-0.012,-0.012,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r11,bend,11,334.0,627.34,1.279,1.417,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r11,bend,11,336.0,627.34,1.661,1.661,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r11,bend,11,338.0,627.34,2.951,2.951,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r11,bend,11,340.0,627.34,2.87,2.978,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r11,bend,11,342.0,627.34,2.693,3.156,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r12,bend,12,318.0,628.72,1.874,2.648,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
bend r12,bend,12,320.0,628.72,1.049,2.18,leaf-off (2015-05-02),assumption (crown-opacity closing; heights not raised)
